"","MD Thalamus - R2"
"ALG12",0.987800548282808
"SSTR2",0.987792144301126
"SAE1",0.987790615661666
"IMP4",0.987785115492118
"ANKRD50",0.987761956223939
"ALG1",0.987755507181876
"ST3GAL1",0.987743632799503
"MED14",0.987740073010825
"TLCD1",0.987704044673385
"KLHL13",0.987658589821609
"RHOB",0.987645685513776
"INPPL1",0.987620906379185
"KCNJ16",0.987539654951123
"SPATS2",0.987517019076229
"CUL2",0.987512134160617
"HELZ",0.987468298194424
"FOXP1",0.987413194694561
"NOG",0.987339399376124
"SLC17A5",0.987327853767987
"GJA1",0.987318640770456
"ZNF436",0.987286411024573
"GPR123",0.987234129192816
"TEX40",0.987229535874503
"SMPD3",0.987204839739511
"THUMPD1",0.987098583393851
"RNF145",0.987037678164879
"PARP6",0.987010484601198
"SLC24A3",0.98689464597292
"R3HDM4",0.986873347399081
"PLK2",0.986799109939686
"MAGED1",0.98677218229754
"SH3BP1",0.986731394560394
"CLN8",0.986720488367455
"PHF13",0.98664858659604
"CDIP1",0.986633370304722
"CTHRC1",0.986608055554927
"SLC35E1",0.986591766194618
"B4GALT2",0.986588602541353
"BAI3",0.986587680109235
"C17orf85",0.986577330961442
"RAB26",0.986560737472357
"LASP1",0.986558087992826
"BAG3",0.986553946294383
"ARHGEF37",0.986548949950719
"TUBB2B",0.986445617026448
"BCAP31",0.98644436422278
"LGALS1",0.986440895579999
"DBN1",0.986439948318246
"NR3C2",0.986430481547306
"WWC3",0.986402032773296
"TUFM",0.986390487671418
"SLC35F1",0.986376062728281
"DHRS13",0.986325648870952
"RND3",0.986307613191433
"PTN",0.986302361530502
"FOXN3",0.986291929824322
"FBXO38",0.986280466365453
"VIM",0.986251165377277
"JADE1",0.986146712703686
"GPR161",0.986119422458203
"GNG2",0.986118085580757
"GFRA1",0.98610971996449
"TOX",0.9861031155916
"PSMD11",0.985933279091431
"BHLHE40",0.98590637303878
"PLEKHB1",0.985890001810214
"MIR3654",0.985842083979473
"GPD1",0.985831125525501
"POLR3B",0.98580573389515
"ETNK2",0.985800483757068
"NOA1",0.985800249972702
"DEDD2",0.985755207775492
